Matriz;Legislação;Classe;Grupo;Parâmetro B.D.;Parâmetro;Unidade;Min;Max;Obs
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;CARBARIL;Carbaril;µg/L;;0.02;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;CHUMBO TOTAL;Chumbo total;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;CIANETO LIVRE;Cianeto livre;mg/L;;0.005;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;CLORDANO (CIS+TRANS);Clordano (cis + trans);µg/L;;0.04;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;CLORETO TOTAL;Cloreto total;mg/L;;250;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;CLORO RESIDUAL TOTAL;Cloro residual total;mg/L;;0.01;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;CLOROFILA A;Clorofila a;µg/L;;30;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;COBALTO TOTAL;Cobalto total;mg/L;;0.05;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;COBRE DISSOLVIDO;Cobre dissolvido;mg/L;;0.009;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;COLIFORMES TERMOTOLERANTES (QUALI);Coliformes termotolerantes;NMP/100mL;;0.5;inserido p/xikrin
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;COLIFORMES TERMOTOLERANTES (QUANTI);Coliformes termotolerantes;NMP/100mL;;1000;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;COR VERDADEIRA;Cor verdadeira;mg Pt/L;;75;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;CORANTES ARTIFICIAIS;Corantes provenientes de fontes antrópicas;P/A;;0.001;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;CROMO TOTAL;Cromo total;mg/L;;0.05;
